product_name,reviewer,review_date,review_text
Cosco 6 Foot Centerfold Folding Table Black,Sister,10/10/2019,"I really needed something cheap and easily moved as a temporary place for a new computer and printer.  Now that it's here, I sure wish they had offered a 4-5 foot model.  And after reading several mentions of dents in the middle, which mine also has, I really wonder...are they made this way? Table definitely needs a way to lock it in the middle instead of the 'rings' on each end near the legs.  
If nothing else, I will have more than enough room to eat a meal and work at the same time.  But jic, I think I'm going to try and find something heavy that can lay flat across both sides.  Not sure I trust it to place a brand new computer on."
Cosco 6 Foot Centerfold Folding Table Black,JAY,9/29/2020,I was hoping that this would NOT be defective. It looks USED!! DISAPPOINTING
Cosco 6 Foot Centerfold Folding Table Black,Renee,7/6/2020,The middle of the table goes upwards so not a flat surface the middle end was dented and there are bubbles throughout the table. Not worth 50$
Cosco 6 Foot Centerfold Folding Table Black,Dasaradha,10/22/2020,The product has scratches on sides two sides of the table . Its hard scratches. Very disappointed about the product.
Cosco 6 Foot Centerfold Folding Table Black,C,9/20/2020,"Item arrived damaged, with part of the shipping box missing.  Three phone calls to Wal-Mart with no resolution."
Cosco 6 Foot Centerfold Folding Table Black,Markisha B,4/27/2018,I needed this table for a vending event and it was the perfect size! It also arrived ahead of the quoted delivery date which made it even better!
Cosco 6 Foot Centerfold Folding Table Black,Taylor,8/22/2020,"Not only was my order late, but it arrived damaged. See photos attached for what it looked like when I took it out of the box."
Cosco 6 Foot Centerfold Folding Table Black,Patricia,9/9/2020,I ordered two of these tables. Pretty disappointed that both tables were bent in the same place. The shipping boxes showed no damage.
Cosco 6 Foot Centerfold Folding Table Black,Alena,1/8/2022,"I have bought this table for the New Year's event celebration. I have cooked a lot and my family enjoyed each dish that I put on this table. At first, it was a bit uneven but I think as long we will be using this table, as better and flat it will be. This table is very lightweight, simple to assemble, and very good to fold for keeping. You can use it in your home when you need or you can take it with you if you do plan to spend time outside: camping, street party, and so on). Don't use it as a holder for heavy items, not as a ladder, or don't stand on this table."
Cosco 6 Foot Centerfold Folding Table Black,Michelle,1/2/2022,"Bought this for an office table. I normally buy the black folding table with the faux leather top that's much cheaper, but wanted to try something different. This one produces a lot of static electricity. I've zapped my laptop several times now and had to take my computer apart just to reset the battery. So, I wouldn't recommend it for an office. Not their fault at all. Why I'm giving this 3 stars is because the table doesn't lay flat in the middle where it folds so you can't set anything on that part of the table, which is awkward."
Cosco 6 Foot Centerfold Folding Table Black,DMG,12/8/2021,"This table was exactly what I wanted. It is very sturdy and easy to set up, and even has a latch once folded and ready for storage. The table top is thick and since it folds for storage it takes less space and easier to store Thant a table that doesn't fold."
Cosco 6 Foot Centerfold Folding Table Black,,7/4/2016,"Ok, this 6' table only cost me $38.88 and then I had purchased a table tennis to go (at a different store) for $14.99.  We are looking at a total of $53.87 of table fun for all ages!  With creativity this table has many uses."
Cosco 6 Foot Centerfold Folding Table Black,Theodore,6/13/2021,"I figured this would be a good deal for the money but on second thought no. Delivery was on time but there was a huge gash in the side of one box. The other box was unscathed. I opened the box that was damaged and noticed a huge dent in the top of the table. The second table was fine. Even though these tables look nice, they don't seem very sturdy at all. I am using these tables for a BBQ event in my back yard and was hoping to put these tables in the grassy area. On concrete, they are still wobbly and if you put any type of heavy pressure on them, the table my buckle or collapse in the middle. To be on the safe side, don't use these tables for anything really heavy and evenly distribute the weight along the whole table."
Cosco 6 Foot Centerfold Folding Table Black,awesome,11/7/2020,"Has a huge dent in it, box was ripped bad."
Cosco 6 Foot Centerfold Folding Table Black,Torie,9/27/2020,Nice table for price. Wish I would have just purchased in store as it was damaged when shipped.
Cosco 6 Foot Centerfold Folding Table Black,Sheila,10/10/2020,Im using this tale as my office desk and it's perfect!
Cosco 6 Foot Centerfold Folding Table Black,Jou,8/4/2020,Soft plastic type material. Melted in sun . Disappointing
Cosco 6 Foot Centerfold Folding Table Black,Israel,8/5/2020,This table was actually better than I expected. Very nice
Cosco 6 Foot Centerfold Folding Table Black,Amy,1/18/2021,The item arrived with a visible dent on the table.  Otherwise it's a solid product.
Cosco 6 Foot Centerfold Folding Table Black,AJ,3/18/2022,Came quickly and in good shape. Amazing price and very sturdy.
Cosco 6 Foot Centerfold Folding Table Black,Montrelle,7/22/2020,Table is dented in 4 different areas on the top.
Cosco 6 Foot Centerfold Folding Table Black,Madmom,9/12/2020,"Very sturdy, not wobbly , love the fact it folds for easy storage, shipping was very fast"
Cosco 6 Foot Centerfold Folding Table Black,CindyS,12/13/2016,My daughter has one of these tables and when she brought it for an event it was so convenient with the handle to carry and it folds in half for easy storage and transport.   I mediately had to have one because my old band quit table is so heavy and doesn't fold like this one so  it won't fit in most vehicles.    This table is easy for me to manage without any help I just love it it would be definitely buy it again
Cosco 6 Foot Centerfold Folding Table Black,mrujoint,3/21/2017,"This table is a great buy!  Sure fit the bill for me when I needed extra table space as I was packing up my office for my move across town to a new office.
Hard to go wrong and the handle comes in very handy when carrying it around.
Buy it, you'll like it!!
Brad"
Cosco 6 Foot Centerfold Folding Table Black,DarrellH,2/19/2017,"Love the table. It is great to have an extra tabletop when those unexpected surprises pop up or for a planned event at home. It's a plus that it folds away quite nicely when not in use as well. 
Ordering and pick up were super quick. Love to order online from Walmart."
Cosco 6 Foot Centerfold Folding Table Black,Krismllr,7/17/2016,"I ordered four tables for my shop and two of them had dents in the middle where the tables fold and one was missing the handle to carry it. As other people mentioned, there is a rise at the center of the tables. None of these things were deal breakers for me, so I kept them."
Cosco 6 Foot Centerfold Folding Table Black,Kristen,1/9/2017,"Excellent table!!! Same table listed on Amazon for double the price! Great deal! Hand carry strap makes it easy for carting up and down stairs from basement to party area. We used these for our Christmas party and set up took less than 2 mins
For two of them!! The folding option makes storing the table a breeze and takes up half the space! Sturdy and easy to assemble! My only regret is that I didn't buy these sooner!"
Cosco 6 Foot Centerfold Folding Table Black,BestMom239,9/5/2016,I bought two of these tables because lots of family coming over.  They were light enough for me to pick them up for Wal-Mart and put in my car but strong enough to hold the food and stand up to a lot of bumping from little ones.  With the handle they are easy to carry and put in my storage area off of my deck.
Cosco 6 Foot Centerfold Folding Table Black,Anonymous,9/2/2016,"These tables were just what we needed for quick setup and takedown for occasional classes.  We ordered 25 and they arrived on time. The only issue we had is that 6 of the 25 had noticeable deformities (usually a dented corner), since they are made of hard, molded plastic. I was able to exchange 4 of the 6 tables at local Walmarts."
Cosco 6 Foot Centerfold Folding Table Black,Darcy,8/2/2021,"The tables themselves are good, especially for the price, but both of mine arrived in banged-up boxes and with dents in the table surface. I needed cheap tables for my market booth, so this is still acceptable to me, but no one wants to pay for a brand-new item and receive something damaged. One corner is caved in, which means I can only have one side face out and it is still visible with a tablecloth on. Other reviews noted that the tables arrived damaged, and I had hoped that wouldn't be the case with mine, but if you choose to order these tables, best to assume that they will be arriving dented or damaged, just as many reviews have noted. If you need them to be perfect, look elsewhere. If you don't mind dents and damage, these tables wil..."
Cosco 6 Foot Centerfold Folding Table Black,marijean,10/24/2021,"The table is nice and sturdy.  The problem is that the first table I received was damaged, I returned it and a replacement was sent.  The second table is also damaged.  I am keeping it because is it a pain to return this laege item to the post office.  Walmart should offer store return."
Cosco 6 Foot Centerfold Folding Table Black,larry,9/10/2021,You sent me a damaged table. And the people you arranged to pick up the damaged table refused to take it. So itsYou sent me a damaged table. And the people you arranged to pick up the damaged table refused to take it. So its still sitting here waiting for someone to pick it
Cosco 6 Foot Centerfold Folding Table Black,Snowbuddies,3/9/2022,"This table has a slightly ""bumpy"" surface. I would prefer it to be smooth.
You have to push on the center to make it go completely flat."
Cosco 6 Foot Centerfold Folding Table Black,Wayne,1/28/2022,The table does not sit level when set up. Center seam is over 1/2 inch  raised. Both halves slope down from hinged center. My floor is level.
Cosco 6 Foot Centerfold Folding Table Black,Sally,1/26/2022,Gave it 4 stars because it looks slightly bent in the middle but overall works well for how I need it. Would recommend.
Cosco 6 Foot Centerfold Folding Table Black,LindseyR,2/2/2022,"Arrived with only cellophane wrapping.  One side is slightly bent at the middle join. Otherwise, it works like it's supposed to."
Cosco 6 Foot Centerfold Folding Table Black,JohnD,2/3/2022,"Very sturdy table, very high quality and shipping was not only free but extremely fast!  Really happy with this purchase!"
Cosco 6 Foot Centerfold Folding Table Black,Karen,1/15/2022,Strong! Durable! Provided memorable moment at the game!
Cosco 6 Foot Centerfold Folding Table Black,Deanna,8/10/2016,"Much better quality than expected.  Very sturdy, folds up to about 4"" thick so it's easy to pack with the camping gear.  I was so impressed I bought a second!"
Cosco 6 Foot Centerfold Folding Table Black,hnlbruin,8/31/2016,"This table is great, easy to open and prop up in literally seconds, no dealing with the pegs and holes on the legs.  For the price, we opted to buy 4 instead of renting tables."
Cosco 6 Foot Centerfold Folding Table Black,Rcatwoman,11/30/2016,"Purchased this for the Thanksgiving meal with my family. Originally noticed this table at my company events and seen how durable it was and easy to store. Exactly what I needed, and as an added bonus it is is very easy to set up and take down."
Cosco 6 Foot Centerfold Folding Table Black,Karen,9/22/2021,"I'm  very satisfied. Stable, heavy duty and perfect height for my studio. It's easy to assemble and office chairs fit nicely underneath with a large even surface for drawing. Ordered another today!"
Cosco 6 Foot Centerfold Folding Table Black,MAXINE,8/25/2021,"I use this table to hold my out door potted plants, I store supplies under the table.
I love this table, this is the second one I have for my back yard.
Table is sturdy, light weight and easy to move."
Cosco 6 Foot Centerfold Folding Table Black,palak,8/22/2021,Not really happy with the quality or delivery. The table came indented and is bending when you apply any light pressure. Feels cheap for spending this much money. Walmart would not offer a convenient replacement.
Cosco 6 Foot Centerfold Folding Table Black,jess,11/12/2021,the product was fine. the delivery wasn't. the package was left at the end of the driveway  on the street  where anyone driving buy could have packed it up. fedex is a zero in this neighborhood.
Cosco 6 Foot Centerfold Folding Table Black,cdarbygrl,8/30/2021,"This is the 2nd table I've bought like this. They are great for college dorm rooms. My son does his homework on the table,  with plenty of room to spread out. We also have one at home for projects and it's very sturdy.  Definitely recommend!"
Cosco 6 Foot Centerfold Folding Table Black,Frank,11/2/2021,Purchased a 3-pack deal but now it is listed as only one table that somehow costs over 2x the regular price? Am I really buying 1-table for $100? C'mon man.
Cosco 6 Foot Centerfold Folding Table Black,Dave,7/28/2021,"I liked that the tables arrived when walmart said they would, in two days. Upon inspection the tables opened satisfactorily, but I found some defects. I can live with them. I'm using the tables at the present time to set up trains for the holidays."
Cosco 6 Foot Centerfold Folding Table Black,Gail,11/1/2021,"These tables are perfect for gatherings; not too heavy, easy to handle/carry; I can carry these without my husband's assistance and they store extremely well, fold in half.  Highly recommend them!"
Cosco 6 Foot Centerfold Folding Table Black,NanaandPappyB,11/19/2021,"This is the second 6' Cosco folding table. This one is for our son-in-law for Christmas. He wanted one, so we got him one like ours. It is great for meals with extra company, crafts, sewing and lots more. It is very sturdy."
Cosco 6 Foot Centerfold Folding Table Black,jonathan,8/24/2021,"My table was dented all over the top, as well as bent. I decided to keep it ONLY bc I don't have a vehicle to return it. It has potential to be a decent table but only if you can get one that doesn't look like it was in a hail storm"
Cosco 6 Foot Centerfold Folding Table Black,Rocket,10/5/2021,"This table is excellent. Unlike some other brands, when full extended, this table is completely flat. It also has a locking notch to prevent the table from opening when not in use. Highly recommended."
Cosco 6 Foot Centerfold Folding Table Black,Tom,9/15/2021,"Wow! This is such a great deal for under $50 and FREE next day shipping. What a deal. Was not a Walmart shopper before, but will be back for more deals! Thanks!"
Cosco 6 Foot Centerfold Folding Table Black,Fixer,7/29/2021,Great solution for me for setting my art/painting table in my guest room since it is sturdy and large enough to use but can easily be bi-folded into a neat slim package that is easy to carry and lean against the wall when my guests need the room
Cosco 6 Foot Centerfold Folding Table Black,Justin,10/19/2021,This table is great value.  Showed up as described and was ready to use right away.  Highly recommend to anyone looking for a solid table at a great price.
Cosco 6 Foot Centerfold Folding Table Black,Syvone,8/21/2021,These table are easy to set up and take down. The handle make it great to carry without you trying to grip the surface of the table. Super easy to clean;very stredy with holding weights. Overall great buy I currently own 6 of these.
Cosco 6 Foot Centerfold Folding Table Black,MasterofReality,5/9/2021,"Overall I'm pleased for the $.  
It's ok for my uses. 
It did come with a pretty decent dent on it.  I'm not sure how
you dent plastic, but I guess something real heavy during shipping sat on it. 
It is sort of misleading about sitting on either end. 
The way the legs are designed, it's a real pain to sit on the ends, so consider it a true 4 person table with plenty of elbow room and you'll be ok. 
My main use is basically a camping ""buffet"" type table. 
Possibly a part time game/fish cleaning station.  
Shooting table.
It'll handle that kind of stuff great. 
I know, game cleaning/buffet table.  Gross.
Being that its white and plastic though, just a little mild bleach water and a brush and presto! 
Sits fairly level.  Level enough. 
I would..."
Cosco 6 Foot Centerfold Folding Table Black,Razoroni,4/3/2021,"This is a quality folding table that is 6 feet long. The fact that it folds is a real plus, which makes storage a breeze.  I was surprised at how heavy it is, but that is not a real problem as that means it is going to hold up under normal use for many years! I highly recommend it, (I bought a 2nd one!!!)"
Cosco 6 Foot Centerfold Folding Table Black,Millie,5/26/2021,They're strong sturdy and versatile. Overall I like them. But I bought 2 and one of them it's defective or something happened on the transport. The support on the center part it's bent and one of the bolts bust out as you can see in the photo. Also the surface of that same table has a lot of bumps from the manufactory design under the table.
